,CMA Number,Chinese Name,English Name,Landing Location,Landing Time,Peak Strength,Landing Strength,coordinate,lat,lon,area,city,prinvince
98,8403,——,Alex,浙江省台州市玉环县鲜跌乡,1984年7月4日,12级，35m/s，962hPa,11级，30m/s，980hPa,"(28.13593, 121.231805)",28.13593,121.231805,"('Zhejiang Sheng', 'Taizhou Shi')",Taizhou Shi,Zhejiang Sheng
99,8404,——,Betty,广东省阳江市阳西县溪头镇,1984年7月9日,11级，30m/s，980hPa,11级，30m/s，980hPa,"(21.653075, 111.757796)",21.653075,111.757796,"('Guangdong Sheng', 'Yangjiang Shi')",Yangjiang Shi,Guangdong Sheng
100,8406,——,Ed,江苏省南通市如东县长沙镇,1984年7月31日,16级，55m/s，947hPa,11级，30m/s，985hPa,"(32.401974, 121.288877)",32.401974,121.288877,"('Jiangsu Sheng', 'Nantong Shi')",Nantong Shi,Jiangsu Sheng
101,8406,——,Ed,山东省日照市东港区大古镇,1984年8月2日,16级，55m/s，947hPa,5级，10m/s，997hPa,"(35.340506, 119.45157)",35.340506,119.45157,"('Shandong Sheng', 'Rizhao Shi')",Rizhao Shi,Shandong Sheng
102,8407,——,Feada,台湾省宜兰县头城镇,1984年8月7日,11级，30m/s，985hPa,11级，30m/s，985hPa,"(24.8576121, 121.8234687)",24.8576121,121.8234687,"('Shandong Sheng', 'Rizhao Shi')",Rizhao Shi,Shandong Sheng
103,8407,——,Feada,福建省福州市连江县苔菉镇,1984年8月8日,11级，30m/s，985hPa,10级，25m/s，988hPa,"(26.353358, 119.936046)",26.353358,119.936046,"('Fujian Sheng', 'Fuzhou Shi')",Fuzhou Shi,Fujian Sheng
104,8408,——,Gerald,广东省深圳市龙岗区大鹏半岛,1984年8月21日,11级，30m/s，975hPa,8级，18m/s，988hPa,"(22.5505556, 114.4913889)",22.5505556,114.4913889,"('Fujian Sheng', 'Fuzhou Shi')",Fuzhou Shi,Fujian Sheng
105,8410,——,Ike,海南省文昌市会文镇,1984年9月5日,15级，50m/s，947hPa,13级，40m/s，960hPa,"(19.462573, 110.731756)",19.462573,110.731756,"('Hainan Sheng', 'Wenchang Shi')",Wenchang Shi,Hainan Sheng
106,8410,——,Ike,广东省湛江市徐闻县角尾乡,1984年9月5日,15级，50m/s，947hPa,12级，35m/s，970hPa,"(20.259977, 109.95774)",20.259977,109.95774,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
107,8410,——,Ike,广西省钦州市钦南区犀牛脚镇,1984年9月6日,15级，50m/s，947hPa,11级，30m/s，970hPa,"(21.641698, 108.745939)",21.641698,108.745939,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
